customer_id,full_name,email,phone_number,city,signup_date
376957,Aarna Chacko,,8746818648,Kolkata,2023-06-02
122197,Yuvraj  Srinivas,tarini75@hotmail.com,7825021492,Hyderabad,2024-01-07
715973,Rasha Sastry,avirk@hotmail.com,9393236358,Ahmedabad,2025-04-12
240789,Tara Bhakta,,9957649440,Ahmedabad,2023-05-14
507076,Saanvi Bahri,,9893580057,Pune,2025-04-02
279657,Dishani Rout,glala@hotmail.com,7252203054,Kolkata,2023-07-12
562382,Amani Dhingra,,9641355189,Ahmedabad,2023-04-23
692384,Alisha Subramaniam,tanyakulkarni@majumdar.com,9068950182,Kolkata,2025-03-26
156259,Hrishita Gopal,divijdora@hotmail.com,7344359134,Delhi,2024-08-28
493266,Manjari De,azad48@taneja.com,9835149328,Kolkata,2024-04-27
941318,Reyansh Som,rajuranbir@sawhney-lata.com,9420268308,Hyderabad,2025-03-26
191011,Samarth Subramanian,jivin90@gmail.com,8340412987,Delhi,2023-09-10
775342,Hiran Seshadri,xdugar@hotmail.com,7551443940,Hyderabad,2025-04-08
716788,Ira Bera,bajwakaira@bali.info,7789001494,Hyderabad,2025-03-31
524870,Zeeshan Hora,kanav75@yahoo.com,8107582860,Ahmedabad,2023-07-01
450778,Anaya Balay,kavyadatta@gmail.com,9646604095,Chennai,2025-03-16
344418,Pranay Iyengar,settysara@srivastava-handa.info,9851168124,Pune,2023-04-26
631413,Shayak Cheema,badalkari@yahoo.com,7854161249,Mumbai,2025-01-13
577652,Rhea Master,fdeshpande@gmail.com,9912430600,Bangalore,2023-09-01
141005,Neelofar Gandhi,,7350311370,Chennai,2023-05-02
603256,Indranil Dass,mamootychaudhari@ray.net,7017482744,Bangalore,2024-08-24
750120,Riya Ratta,indranilranganathan@gmail.com,8796144385,Bangalore,2025-04-08
206751,Nirvi Kulkarni,kotharieshani@yahoo.com,9161746510,Kolkata,2025-02-05
381743,Mishti Apte,dsant@tella-singhal.com,8961192552,Kolkata,2025-03-09
973631,Miraya Gade,kdhingra@yahoo.com,7994038627,Chennai,2023-07-05
632152,Mishti Basu,gadefateh@gmail.com,7431142293,Kolkata,2023-12-24
614095,Arhaan Dasgupta,,9313468383,Chennai,2025-04-11
677547,Nakul Ganesh,shaanbatra@sule-luthra.com,7281220029,Bangalore,2023-04-26
776318,Dhanuk Sur,navya80@sastry-madan.net,9220102817,Bangalore,2023-08-05
513234,Armaan Kapur,chadumang@yahoo.com,7619250454,Pune,2025-03-21
